Control Number;;Control Function;3rd Byte Value;;
(2nd Byte Value);;;;;
Decimal;Hex;;Value;Used As;mapping
0;0;Bank Select;0-127;MSB;
1;1;Modulation Wheel or Lever;0-127;MSB;
2;2;Breath Controller;0-127;MSB;
3;3;Undefined;0-127;MSB;1
4;4;Foot Controller;0-127;MSB;
5;5;Portamento Time;0-127;MSB;
6;6;Data Entry MSB;0-127;MSB;
7;7;Channel Volume (formerly Main Volume);0-127;MSB;
8;8;Balance;0-127;MSB;
9;9;Undefined;0-127;MSB;1
10;0A;Pan;0-127;MSB;
11;0B;Expression Controller;0-127;MSB;
12;0C;Effect Control 1;0-127;MSB;
13;0D;Effect Control 2;0-127;MSB;
14;0E;Undefined;0-127;MSB;1
15;0F;Undefined;0-127;MSB;1
16;10;General Purpose Controller 1;0-127;MSB;
17;11;General Purpose Controller 2;0-127;MSB;
18;12;General Purpose Controller 3;0-127;MSB;
19;13;General Purpose Controller 4;0-127;MSB;
20;14;Undefined;0-127;MSB;1
21;15;Undefined;0-127;MSB;1
22;16;Undefined;0-127;MSB;1
23;17;Undefined;0-127;MSB;1
24;18;Undefined;0-127;MSB;
25;19;Undefined;0-127;MSB;
26;1A;Undefined;0-127;MSB;
27;1B;Undefined;0-127;MSB;
28;1C;Undefined;0-127;MSB;
29;1D;Undefined;0-127;MSB;
30;1E;Undefined;0-127;MSB;
31;1F;Undefined;0-127;MSB;
32;20;LSB for Control 0 (Bank Select);0-127;LSB;
33;21;LSB for Control 1 (Modulation Wheel or Lever);0-127;LSB;
34;22;LSB for Control 2 (Breath Controller);0-127;LSB;
35;23;LSB for Control 3 (Undefined);0-127;LSB;
36;24;LSB for Control 4 (Foot Controller);0-127;LSB;
37;25;LSB for Control 5 (Portamento Time);0-127;LSB;
38;26;LSB for Control 6 (Data Entry);0-127;LSB;
39;27;LSB for Control 7 (Channel Volume, formerly Main Volume);0-127;LSB;
40;28;LSB for Control 8 (Balance);0-127;LSB;
41;29;LSB for Control 9 (Undefined);0-127;LSB;
42;2A;LSB for Control 10 (Pan);0-127;LSB;
43;2B;LSB for Control 11 (Expression Controller);0-127;LSB;
44;2C;LSB for Control 12 (Effect control 1);0-127;LSB;
45;2D;LSB for Control 13 (Effect control 2);0-127;LSB;
46;2E;LSB for Control 14 (Undefined);0-127;LSB;
47;2F;LSB for Control 15 (Undefined);0-127;LSB;
48;30;LSB for Control 16 (General Purpose Controller 1);0-127;LSB;
49;31;LSB for Control 17 (General Purpose Controller 2);0-127;LSB;
50;32;LSB for Control 18 (General Purpose Controller 3);0-127;LSB;
51;33;LSB for Control 19 (General Purpose Controller 4);0-127;LSB;
52;34;LSB for Control 20 (Undefined);0-127;LSB;
53;35;LSB for Control 21 (Undefined);0-127;LSB;
54;36;LSB for Control 22 (Undefined);0-127;LSB;
55;37;LSB for Control 23 (Undefined);0-127;LSB;
56;38;LSB for Control 24 (Undefined);0-127;LSB;
57;39;LSB for Control 25 (Undefined);0-127;LSB;
58;3A;LSB for Control 26 (Undefined);0-127;LSB;
59;3B;LSB for Control 27 (Undefined);0-127;LSB;
60;3C;LSB for Control 28 (Undefined);0-127;LSB;
61;3D;LSB for Control 29 (Undefined);0-127;LSB;
62;3E;LSB for Control 30 (Undefined);0-127;LSB;
63;3F;LSB for Control 31 (Undefined);0-127;LSB;
64;40;Damper Pedal on/off (Sustain);≤63 off, ≥64 on;---;
65;41;Portamento On/Off;≤63 off, ≥64 on;---;
66;42;Sostenuto On/Off;≤63 off, ≥64 on;---;
67;43;Soft Pedal On/Off;≤63 off, ≥64 on;---;
68;44;Legato Footswitch;≤63 Normal, ≥64 Legato;---;
69;45;Hold 2;≤63 off, ≥64 on;---;
70;46;Sound Controller 1 (default: Sound Variation);0-127;LSB;
71;47;Sound Controller 2 (default: Timbre/Harmonic Intens.);0-127;LSB;
72;48;Sound Controller 3 (default: Release Time);0-127;LSB;
73;49;Sound Controller 4 (default: Attack Time);0-127;LSB;
74;4A;Sound Controller 5 (default: Brightness);0-127;LSB;
75;4B;Sound Controller 6 (default: Decay Time - see MMA RP-021);0-127;LSB;
76;4C;Sound Controller 7 (default: Vibrato Rate - see MMA RP-021);0-127;LSB;
77;4D;Sound Controller 8 (default: Vibrato Depth - see MMA RP-021);0-127;LSB;
78;4E;Sound Controller 9 (default: Vibrato Delay - see MMA RP-021);0-127;LSB;
79;4F;Sound Controller 10 (default undefined - see MMA RP-021);0-127;LSB;
80;50;General Purpose Controller 5;0-127;LSB;
81;51;General Purpose Controller 6;0-127;LSB;
82;52;General Purpose Controller 7;0-127;LSB;
83;53;General Purpose Controller 8;0-127;LSB;
84;54;Portamento Control;0-127;LSB;
85;55;Undefined;---;---;
86;56;Undefined;---;---;
87;57;Undefined;---;---;
88;58;High Resolution Velocity Prefix;0-127;LSB;
89;59;Undefined;---;---;
90;5A;Undefined;---;---;
91;5B;Effects 1 Depth;0-127;---;
;;(default: Reverb Send Level - see MMA RP-023);;;
;;(formerly External Effects Depth);;;
92;5C;Effects 2 Depth (formerly Tremolo Depth);0-127;---;
93;5D;Effects 3 Depth;0-127;---;
;;(default: Chorus Send Level - see MMA RP-023);;;
;;(formerly Chorus Depth);;;
94;5E;Effects 4 Depth (formerly Celeste [Detune] Depth);0-127;---;
95;5F;Effects 5 Depth (formerly Phaser Depth);0-127;---;
96;60;Data Increment (Data Entry +1) (see MMA RP-018);N/A;---;
97;61;Data Decrement (Data Entry -1) (see MMA RP-018);N/A;---;
98;62;Non-Registered Parameter Number (NRPN) - LSB;0-127;LSB;
99;63;Non-Registered Parameter Number (NRPN) - MSB;0-127;MSB;
100;64;Registered Parameter Number (RPN) - LSB*;0-127;LSB;
101;65;Registered Parameter Number (RPN) - MSB*;0-127;MSB;
102;66;Undefined;---;---;1
103;67;Undefined;---;---;1
104;68;Undefined;---;---;1
105;69;Undefined;---;---;1
106;6A;Undefined;---;---;1
107;6B;Undefined;---;---;1
108;6C;Undefined;---;---;1
109;6D;Undefined;---;---;1
110;6E;Undefined;---;---;1
111;6F;Undefined;---;---;
112;70;Undefined;---;---;1
113;71;Undefined;---;---;1
114;72;Undefined;---;---;1
115;73;Undefined;---;---;1
116;74;Undefined;---;---;1
117;75;Undefined;---;---;1
118;76;Undefined;---;---;1
119;77;Undefined;---;---;1
Note:;;;;;
120;78;[Channel Mode Message] All Sound Off;0;---;
121;79;[Channel Mode Message] Reset All Controllers;0;---;
;;(See MMA RP-015);;;
122;7A;[Channel Mode Message] Local Control On/Off;0 off, 127 on;---;
123;7B;[Channel Mode Message] All Notes Off;0;---;
124;7C;[Channel Mode Message] Omni Mode Off (+ all notes off);0;---;
125;7D;[Channel Mode Message] Omni Mode On (+ all notes off);0;---;
126;7E;[Channel Mode Message] Mono Mode On (+ poly off, + all notes off);Note: This equals the number of channels, or zero if the number of channels equals the number of voices in the receiver.;---;
127;7F;[Channel Mode Message] Poly Mode On (+ mono off, +all notes off);0;---;
